accident_id	accident_time	deaths	injured	county	municipality	settlement	involving_motorvehicle_driver	accident_type	accident_type_detailed	accident_scenario	road_type	road_type_detail	road_width	speed_limit	road_condition	road_surface_condition	weather	lighting	join_distance	x_coord	y_coord				
2101250063335	2025-04-25 08:48:00	0	1	Harju maakond	Tallinn	Kristiine linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Ristmikule siseneva sõiduki konflikt paremalt poolt tuleva jalakäijaga.	KOV tee/tänav	Tänav	8	50	Sõidutee on korras	Kuiv	Pilvised olud	Valge aeg	1.162916573	6586860.8	540937.7157				
3100190383629	2019-07-06 23:40:00	0	1	Harju maakond	Tallinn	Kesklinna linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Muu liikluskonflikt.	KOV tee/tänav	Tänav	7	30	Sõidutee on korras	Kuiv	Selged olud	Pimeda aeg	2.865741925	6589219	544552				
3100190753960	2019-12-27 21:10:00	0	1	Harju maakond	Tallinn	Kesklinna linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Sõiduki konflikt teelõiku paremalt poolt ületava jalakäijaga.	KOV tee/tänav	Tänav	9	50	Sõidutee on korras	Märg	Pilvised olud	Pimeda aeg	3.659860572	6589090	543369				
3100210370174	2021-06-28 14:55:00	0	1	Harju maakond	Tallinn	Lasnamäe linnaosa	TRUE	Kokkupõrge	Kokkupõrge sõidukiga küljelt	Ristmiku peateel otse sõitva sõiduki konflikt vasakult poolt kõrvalteelt tuleva sõidukiga.	KOV tee/tänav	Tänav	6	50	Sõidutee on korras	Kuiv	Selged olud	Valge aeg	3.311527547	6588030	544363				
3100180203208	2018-05-02 10:39:00	0	1	Võru maakond	Võru linn	Võru linn	TRUE	Kokkupõrge	Kokkupõrge sõidukiga küljelt	Ristmiku peateel otse sõitva sõiduki konflikt vasakult poolt kõrvalteelt tuleva sõidukiga.	KOV tee/tänav	Tänav	10	50	Sõidutee on korras	Kuiv	Selged olud	Valge aeg	0.2497262738	6415392.04	677857.39				
2101230133761	2023-09-27 15:03:00	0	2	Pärnu maakond	Pärnu linn	Pärnu linn	TRUE	Kokkupõrge	Kokkupõrge sõidukiga küljelt	Ristmiku peateel otse sõitva sõiduki konflikt vasakult poolt kõrvalteelt tuleva sõidukiga.	KOV tee/tänav	Tänav	8	50	Sõidutee on korras	Kuiv	Pilvised olud	Valge aeg	12.34297577	6471216	529326				
3100210126872	2021-03-11 12:48:00	0	1	Harju maakond	Tallinn	Nõmme linnaosa	TRUE	Kokkupõrge	Kokkupõrge vastutuleva sõidukiga	Konflikt vastassuundadest otse sõitvate sõidukite vahel teelõigul või ristmiku peateel.	KOV tee/tänav	Tänav	9	50	Sõidutee on ebatasane	Lumelörts, soolalumine segu	Pilvised olud	Valge aeg	2.726048704	6582038	541222				
3100200062499	2020-02-04 18:15:00	0	1	Harju maakond	Tallinn	Lasnamäe linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Parempööret sooritava ja ristmikult lahkuva sõiduki konflikt jalakäijaga.	KOV tee/tänav	Tänav	15	30	Sõidutee on korras	Kuiv	Selged olud	Pimeda aeg	1.979645038	6589744	547511				
3100210011736	2021-01-06 16:36:00	0	1	Pärnu maakond	Pärnu linn	Pärnu linn	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Vasakpööret sooritava ja ristmikult lahkuva sõiduki konflikt jalakäijaga.	KOV tee/tänav	Tänav	8	50	Sõidutee on korras	Kuiv	Selged olud	Pimeda aeg	1.080960567	6474078.39	529124.6241				
3100180340220	2018-06-29 22:58:00	0	1	Harju maakond	Tallinn	Mustamäe linnaosa	TRUE	Ühesõidukiõnnetus	Sõiduki teelt väljasõit	Sõiduk kaotab teelõigul või ristmikul juhitavuse ning kaldub kavandatud kursist paremale teelt välja või vastassuuna vööndisse.	KOV tee/tänav	Tänav	11	50	Sõidutee on korras	Kuiv	Selged olud	Pimeda aeg	9.031912049	6585053	537387				
2101240145910	2024-08-13 14:05:00	0	1	Harju maakond	Tallinn	Haabersti linnaosa	TRUE	Kokkupõrge	Kokkupõrge sõidukiga küljelt		KOV tee/tänav	Tänav	6		Sõidutee on korras	Kuiv	Selged olud	Valge aeg	0.6316051116	6587964	535142				
3100180004431	2018-01-02 20:10:00	0	2	Harju maakond	Tallinn	Nõmme linnaosa	TRUE	Kokkupõrge	Kokkupõrge sõidukiga küljelt	Ristmiku peateel otse sõitva sõiduki konflikt paremalt poolt kõrvalteelt tuleva sõidukiga.	KOV tee/tänav	Tänav	7	50	Sõidutee on korras	Märg	Pilvised olud	Pimeda aeg	0.5084133607	6582486	539299				
