Juhtumi nr	Toimumisaeg	Isikuid	Hukkunuid	Sõidukeid	Vigastatuid	Aadress	Tänav	Maja nr	Ristuv tänav	Tee nr	Tee km	Maakond	Omavalitsus	Asustusüksus	Asula	Liiklusõnnetuse liik	Liiklusõnnetuse liik (detailne)	Kergliikurijuhi osalusel	Jalakäija osalusel	Kaassõitja osalusel	Maastikusõiduki juhi osalusel	Eaka (65+) mootorsõidukijuhi osalusel	Bussijuhi osalusel	Veoautojuhi osalusel	Ühissõidukijuhi osalusel	Sõiduautojuhi osalusel	Mootorratturi osalusel	Mopeedijuhi osalusel	Jalgratturi osalusel	Alaealise osalusel	Esmase juhiloa omaniku osalusel	Turvavarustust mitte kasutanud isiku osalusel	Mootorsõidukijuhi osalusel	Tüüpskeemi nr	Tüüpskeem	Tee tüüp	Tee tüüp (detailne)	Tee liik	Tee element	Tee element (detailne)	Tee objekt	Kurvilisus	Tee tasasus	Tee seisund	Teekate	Teekatte seisund	Sõiduradade arv	Lubatud sõidukiirus	Ilmastik	Valgustus	Valgustus (detailne)	X koordinaat	Y koordinaat	road_width	road_width_uom	n	distance	feature_x	feature_y	nearest_x	nearest_y		
2101240172495	2024-09-19 22:14:00	0	0	1	1	Harju maakond Saku vald Saku alevik Tallinna mnt	Tallinna mnt	12		11340	10.095	Harju maakond	Saku vald	Saku alevik	JAH	Ühesõidukiõnnetus	Kokkupõrge teevälise takistusega	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE			KOV tee/tänav	Tänav	Kõrvalmaantee	Erielemendita teelõik	Erielemendita teelõik	Rajatis puudub	Sirge tee	Tasane tee	Sõidutee on korras	Püsikate	Kuiv	2		Selged olud	Pimeda aeg	Pimeda ajal valgustus põleb	6574168	538173	7	m	1	0.3214046505	538173	6574168	538172.7262	6574168.168		
2101230084769	2023-07-22 05:06:00	1	0	1	1	Harju maakond Tallinn Põhja-Tallinna linnaosa Telliskivi tn	Telliskivi tn					Harju maakond	Tallinn	Põhja-Tallinna linnaosa	JAH	Ühesõidukiõnnetus	Sõiduki ümberpaiskumine teel	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			Kergliiklustee	Jalgtee	Muu tee	Kergliiklustee	Kõnnitee	Rajatis puudub	Sirge tee	Kerge tõus	Sõidutee on korras	Püsikate	Kuiv		20	Selged olud	Valge aeg	Valge aeg	6589083	541068	6	m	1	0.2365710481	541068	6589083	541067.8315	6589083.166		
3110140008413	2014-01-25 21:06:00	2	0	1	1	Harju maakond Tallinn Haabersti linnaosa Paldiski mnt	Paldiski mnt					Harju maakond	Tallinn	Haabersti linnaosa	JAH	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	199	Tundmatu konflikt sõiduki ja jalakäija vahel (nt. kui teelt leitakse kannatada saanud inimene).	KOV tee/tänav	Tänav	Muu tee	Erielemendita teelõik	Erielemendita teelõik	Rajatis puudub	Sirge tee	Tasane tee	Sõidutee on libe	Püsikate	Töötlemata pinnaga jäätunud märg kate, jäide		50	Pilvised olud	Pimeda aeg	Pimeda ajal valgustus põleb	6587537	536807	8	m	1	4.946755339	536807	6587537	536809.4719	6587532.715		
3100220352836	2022-06-24 02:25:00	1	0	1	1	Harju maakond Tallinn Põhja-Tallinna linnaosa Pelguranna tn	Pelguranna tn	57				Harju maakond	Tallinn	Põhja-Tallinna linnaosa	JAH	Ühesõidukiõnnetus	Sõiduki ümberpaiskumine teel	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	201	Sõiduk kaotab teelõigul või ristmikul juhitavuse ning paiskub ümber.	KOV tee/tänav	Tänav	Muu tee	Erielemendita teelõik	Erielemendita teelõik	Rajatis puudub	Sirge tee	Tasane tee	Sõidutee on korras	Püsikate	Kuiv		30	Selged olud	Pimeda aeg	Pimeda ajal valgustus põleb	6589683	538993	8	m	1	12.68255292	538993	6589683	538980.6717	6589685.977		
3100140090271	2014-11-16 00:15:00	2	0	2	1	Harju maakond Tallinn Kesklinna linnaosa Tartu mnt	Tartu mnt					Harju maakond	Tallinn	Kesklinna linnaosa	JAH	Kokkupõrge	Kokkupõrge sõidukiga küljelt	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	602	Teelõigul või ristmikul peateelt kõrvalteele vasakpööret sooritava sõiduki konflikt vastassuunast tuleva sõidukiga.	KOV tee/tänav	Tänav	Muu tee	Ristmik	5 või enama haruga ristmik	Reguleerimata ristmik - liiklusmärkidega	Sirge tee	Tasane tee	Sõidutee on korras	Püsikate	Kuiv		50	Selged olud	Pimeda aeg	Pimeda ajal valgustus põleb	6587583	544641	10	m	1	0.8837432749	544641	6587583	544641.7138	6587583.521		
3120140061769	2014-09-22 08:30:00	2	0	1	1	Viljandi maakond Viljandi linn  Tartu tn	Tartu tn	38				Viljandi maakond	Viljandi linn	Viljandi linn	JAH	Kokkupõrge	Kokkupõrge ees seisva sõidukiga	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	207	Sõiduki konflikt teel või tee serval peatunud (pargitud) sõidukiga.	KOV tee/tänav	Tänav	Muu tee	Erielemendita teelõik	Erielemendita teelõik	Rajatis puudub	Sirge tee	Kerge langus	Sõidutee on korras	Püsikate	Kuiv		50	Pilvised olud	Valge aeg	Valge aeg	6470375	593973	7	m	1	11.71684321	593973	6470375	593980.9202	6470383.634		
2502140004128	2014-02-25 18:02:00	2	0	2	1	Järva maakond VANA Türi vald	PÄRNU - RAKVERE - SÕMERU			5	82.634	Järva maakond	Türi vald	Kirna küla	EI	Kokkupõrge	Kokkupõrge sõidukiga küljelt	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	598	Muu konflikt ristuvatest (külgnevatest) suundadest tulevate sõidukite vahel.	Riigitee	Põhimaantee	Põhimaantee	Muu ristumine	Teelt maha (peale) sõit	Ristumine jalgrattateega	Sirge tee	Järsk langus	Sõidutee on korras	Püsikate	Kuiv	2	90	Selged olud	Pimeda aeg	Pimeda ajal valgustus ei põle	6523538.91	585222.1	10	m	1	0.008182977866	585222.1	6523538.91	585222.108	6523538.908		
2101250063335	2025-04-25 08:48:00	2	0	1	1	Harju maakond Tallinn Kristiine linnaosa Nõmme tee	Nõmme tee		Tedre tn	7840265	1.247	Harju maakond	Tallinn	Kristiine linnaosa	JAH	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	106	Ristmikule siseneva sõiduki konflikt paremalt poolt tuleva jalakäijaga.	KOV tee/tänav	Tänav	Muu tee	Ristmik	X- kujuline ristmik	Jalakäijate ülekäigurada – reguleeritud	Sirge tee	Tasane tee	Sõidutee on korras	Püsikate	Kuiv		50	Pilvised olud	Valge aeg	Valge aeg	6586860.8	540937.7157	8	m	1	1.162916573	540937.7157	6586860.8	540936.6509	6586861.268		
2300200008178	2020-06-18 16:38:00	2	0	1	1	Harju maakond Tallinn Lasnamäe linnaosa Rahu tee	Rahu tee		Peterburi tee			Harju maakond	Tallinn	Lasnamäe linnaosa	JAH	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	104	Sõiduki konflikt teelõiku paremalt poolt ületava jalakäijaga.	KOV tee/tänav	Tänav	Muu tee	Erielemendita teelõik	Erielemendita teelõik	Rajatis puudub	Lauge kurv	Tasane tee	Sõidutee on korras	Püsikate	Kuiv	2+2	50	Selged olud	Valge aeg	Valge aeg	6589884	551417										
3140170019192	2017-04-11 07:10:00	1	0	2	1	Saare maakond Leisi vald	UPA - LEISI			79	27.683	Saare maakond	Saaremaa vald	Tutku küla	EI	Ühesõidukiõnnetus	Sõiduki teelt väljasõit	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	202	Sõiduk kaotab teelõigul või ristmikul juhitavuse ning kaldub kavandatud kursist vasakule vastassuuna vööndisse või teelt välja.	Riigitee	Tugimaantee	Tugimaantee	Erielemendita teelõik	Erielemendita teelõik	Rajatis puudub	Sirge tee	Tasane tee	Sõidutee on korras	Püsikate	Kuiv	2	90	Selged olud	Valge aeg	Valge aeg	6484280.88	424707.97	8	m	1	0.0007840965268	424707.97	6484280.88	424707.9708	6484280.88		
